Listening to port 4567
Laser NIS = 0.946331
Radar NIS = 2.00699
Laser NIS = 0.315482
Radar NIS = 2.37768
Laser NIS = 2.09031
Radar NIS = 5.72729
Laser NIS = 0.0286421
Radar NIS = 1.51713
Laser NIS = 4.79121
Radar NIS = 5.16536
Laser NIS = 2.77927
Radar NIS = 5.31014
Laser NIS = 1.28781
Radar NIS = 1.08185
Laser NIS = 0.599506
Radar NIS = 0.531781
Laser NIS = 0.852214
Radar NIS = 4.92385
Laser NIS = 6.19816
Radar NIS = 1.72734
Laser NIS = 0.664865
Radar NIS = 5.25304
Laser NIS = 2.76792
Radar NIS = 3.22007
Laser NIS = 0.539168
Radar NIS = 0.363833
Laser NIS = 0.544975
Radar NIS = 0.039916
Laser NIS = 1.04
Radar NIS = 0.42989
Laser NIS = 1.44962
Radar NIS = 0.270779
Laser NIS = 2.12917
Radar NIS = 7.25242
Laser NIS = 0.27243
Radar NIS = 6.75855
Laser NIS = 1.95951
Radar NIS = 0.573991
Laser NIS = 7.72337
Radar NIS = 0.872668
Laser NIS = 0.949734
Radar NIS = 0.545975
Laser NIS = 3.50629
Radar NIS = 1.0696
Laser NIS = 2.48326
Radar NIS = 0.233765
Laser NIS = 1.77718
Radar NIS = 2.80911
Laser NIS = 0.857348
Radar NIS = 8.26927
Laser NIS = 2.66152
Radar NIS = 0.701954
Laser NIS = 1.00029
Radar NIS = 7.29652
Laser NIS = 2.02204
Radar NIS = 3.87765
Laser NIS = 0.711645
Radar NIS = 2.47882
Laser NIS = 1.00793
Radar NIS = 6.44305
Laser NIS = 4.2407
Radar NIS = 1.3585
Laser NIS = 6.09159
Radar NIS = 1.55825
Laser NIS = 0.663336
